observations,total_return,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,mean_daily_net_return,positive_net_day_fraction,average_absolute_position,average_daily_turnover,total_turnover,position_changes,asset,method,policy,strategy,cost_bps
304,0.39539194869552685,0.491868864427607,0.6422752719045919,0.9373590387735624,-0.49769186367332663,0.0016494315931521008,0.4868421052631579,1.0,0.7796052631578947,237.0,119,ETH,phase5_concat_xgb,cost_aware,phase5_concat_xgb__cost_aware,10
304,0.3358577302250838,0.4157774361309441,0.6425072201990754,0.8560778759331724,-0.522547490293221,0.0015069485379171276,0.4967105263157895,1.0,0.805921052631579,245.0,123,ETH,phase5_concat_xgb,daily_sign,phase5_concat_xgb__daily_sign,10
304,0.3137293019106453,0.3876662584966071,0.644480689453275,0.8286169392073416,-0.2479877043973645,0.0014630893596520823,0.5394736842105263,0.993421052631579,0.09539473684210527,29.0,15,ETH,phase4_short_window_only_lstm,cost_aware,phase4_short_window_only_lstm__cost_aware,10
304,0.27720501664287256,0.34147519664511683,0.6445824675444723,0.7763320367858365,-0.5053302002252215,0.0013709863559047688,0.4934210526315789,1.0,0.8125,247.0,124,ETH,phase2_general_xgb,daily_sign,phase2_general_xgb__daily_sign,10
304,0.27720501664287256,0.34147519664511683,0.6445824675444723,0.7763320367858365,-0.5053302002252215,0.0013709863559047688,0.4934210526315789,1.0,0.8125,247.0,124,ETH,phase2_xgb,daily_sign,phase2_xgb__daily_sign,10
304,0.1353043602852111,0.1645845522919407,0.6446893111889479,0.5563236756970225,-0.44641694129945664,0.000982618978858129,0.4901315789473684,1.0,0.694078947368421,211.0,106,ETH,phase2_general_xgb,cost_aware,phase2_general_xgb__cost_aware,10
304,0.1353043602852111,0.1645845522919407,0.6446893111889479,0.5563236756970225,-0.44641694129945664,0.000982618978858129,0.4901315789473684,1.0,0.694078947368421,211.0,106,ETH,phase2_xgb,cost_aware,phase2_xgb__cost_aware,10
304,0.10256102900373398,0.12437469256589928,0.6437926342057078,0.5068687324863824,-0.421963161456826,0.0008940228944764832,0.4967105263157895,1.0,0.003289473684210526,1.0,1,ETH,phase1_lstm,daily_sign,phase1_lstm__daily_sign,10
304,0.10256102900373398,0.12437469256589928,0.6437926342057078,0.5068687324863824,-0.421963161456826,0.0008940228944764832,0.4967105263157895,1.0,0.003289473684210526,1.0,1,ETH,phase1_lstm,cost_aware,phase1_lstm__cost_aware,10
304,0.09366404716182974,0.11348995641878568,0.643296693673883,0.48687274181152745,-0.5390746308472232,0.0008580921234172432,0.5263157894736842,1.0,0.5032894736842105,153.0,77,ETH,phase5_reliability_fusion_xgb,daily_sign,phase5_reliability_fusion_xgb__daily_sign,10
304,0.09765422149616443,0.11836942255364802,0.37888456152336575,0.4793422307289493,-0.3536677990986916,0.0004975763586558082,0.25,0.47039473684210525,0.003289473684210526,1.0,1,ETH,phase4_combined_lstm,cost_aware,phase4_combined_lstm__cost_aware,10
304,0.08734963535997076,0.1057755499227453,0.6446724544798722,0.47232437725674387,-0.5620155027092344,0.0008342315495802252,0.48355263157894735,1.0,0.8848684210526315,269.0,135,ETH,phase0_xgb,daily_sign,phase0_xgb__daily_sign,10
304,-0.1198055850974512,-0.14205811889993014,0.6436831945218527,0.08177173110335909,-0.5790265884139316,0.00014420572355669075,0.5032894736842105,1.0,0.0756578947368421,23.0,12,ETH,phase0_lstm,daily_sign,phase0_lstm__daily_sign,10
304,-0.12783137663195476,-0.1514421181191392,0.6439409625620928,0.06600562094932379,-0.5620542161761255,0.00011644855640716768,0.5131578947368421,1.0,0.03618421052631579,11.0,6,ETH,phase3_crypto_lstm,daily_sign,phase3_crypto_lstm__daily_sign,10
304,-0.12783137663195476,-0.1514421181191392,0.6439409625620928,0.06600562094932379,-0.5620542161761255,0.00011644855640716768,0.5131578947368421,1.0,0.03618421052631579,11.0,6,ETH,phase3_reference_lstm,daily_sign,phase3_reference_lstm__daily_sign,10
304,-0.1386622881925359,-0.16407848034140182,0.6461894448817369,0.04388849978978431,-0.6177725092439608,7.769941182425467e-05,0.4769736842105263,0.9967105263157895,0.7927631578947368,241.0,121,ETH,phase0_xgb,cost_aware,phase0_xgb__cost_aware,10
304,-0.1565022810650929,-0.18482272166407476,0.6434504213634571,0.0021296328469751417,-0.5516771017597567,3.754282610234558e-06,0.5032894736842105,1.0,0.0625,19.0,10,ETH,phase0_lstm,cost_aware,phase0_lstm__cost_aware,10
304,-0.17977715643917846,-0.21175430284830377,0.6434219279034895,-0.048970522145331374,-0.5873280731001547,-8.632522676490313e-05,0.5131578947368421,1.0,0.03618421052631579,11.0,6,ETH,phase3_crypto_lstm,cost_aware,phase3_crypto_lstm__cost_aware,10
304,-0.17977715643917846,-0.21175430284830377,0.6434219279034895,-0.048970522145331374,-0.5873280731001547,-8.632522676490313e-05,0.5131578947368421,1.0,0.03618421052631579,11.0,6,ETH,phase3_reference_lstm,cost_aware,phase3_reference_lstm__cost_aware,10
